Meal,Food Item,Calories,Fats,Proteins,Iron,Calcium,Sodium,Potassium,Carbohydrates,Fibre,VitaminD,Sugars
Breakfast,Hide and Sick,750,27.0,9.0,2.7,0.0,165.0,0.0,120.0,0.0,0.0,63.0
Breakfast,Digestive Biscuits,71,3.1,1.1,0.0,0.0,0.1,0.0,9.3,0.5,0.0,0.0
Breakfast,Tea,1,0.0,0.0,0.08,2.0,1.0,9.0,0.2,0.0,0.0,0.0
Lunch,Hide and Sick,750,27.0,9.0,2.7,0.0,165.0,0.0,120.0,0.0,0.0,63.0
Lunch,aloo paratha,329,6.2,9.1,3.06,50.0,15.0,982.0,62.3,10.1,0.0,3.9
Lunch,Tomato,16,0.2,1.2,0.47,5.0,42.0,212.0,3.2,0.9,0.0,2.63
Dinner,chana masala,565,10.4,18.5,3.51,84.0,300.0,311.0,92.0,7.3,0.0,0.1
Dinner,Dhikri,204,2.0,4.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0
Dinner,Onions,40,0.1,1.1,0.21,23.0,4.0,146.0,9.3,1.7,0.0,4.2
Dinner,Golmedako Aachar,4,0.3,0.1,0.636,1.0,7.9,11.3,0.3,0.1,0.0,0.1
Total,Total Calories,2730,,,,,,,,,,
